goldId	partition	exactWord	ipa	stratum	category	baseline	riskProxy	alternatives
DSG-D-073	development	palle	pal	low_frequency	nom_concret_à_vérifier	C	medium	
DSG-D-074	development	hs	aʃɛs	low_frequency	fonction_ou_qualité	D	high	
DSG-D-075	development	soule	sul	low_frequency	fonction_ou_qualité	D	high	
DSG-D-076	development	caye	kaj	low_frequency	nom_concret_à_vérifier	C	medium	
DSG-D-077	development	dépens	depɑ̃	low_frequency	nom_concret_à_vérifier	C	medium	
DSG-D-078	development	ola	ola	low_frequency	nom_concret_à_vérifier	C	medium	
DSG-D-079	development	jais	ʒɛ	low_frequency	nom_concret_à_vérifier	C	medium	
DSG-D-080	development	dictats	dikta	low_frequency	nom_concret_à_vérifier	C	medium	
DSG-D-081	development	rolle	ʁɔl	low_frequency	nom_concret_à_vérifier	C	medium	
DSG-D-082	development	track	tʁak	low_frequency	nom_concret_à_vérifier	C	medium	
DSG-D-083	development	soiffe	swaf	low_frequency	action	D	high	
DSG-D-084	development	poly	poli	deceptive_concrete	nom_concret_à_vérifier	C	medium	
DSG-D-085	development	blues	bluz	deceptive_concrete	nom_concret_à_vérifier	C	medium	
DSG-D-086	development	q	ky	deceptive_concrete	nom_concret_à_vérifier	B	medium	
DSG-D-087	development	fond	fɔ̃	deceptive_concrete	nom_concret_à_vérifier	B	low	
DSG-D-088	development	vitae	vite	deceptive_concrete	nom_concret_à_vérifier	C	medium	
DSG-D-089	development	chimio	ʃimjo	deceptive_concrete	nom_concret_à_vérifier	C	medium	
DSG-D-090	development	lumière	lymjɛʁ	deceptive_concrete	nom_concret_à_vérifier	B	low	
DSG-D-091	development	pair	pɛʁ	deceptive_concrete	nom_concret_à_vérifier	B	medium	
DSG-D-092	development	sosie	sozi	deceptive_concrete	nom_concret_à_vérifier	C	medium	
DSG-D-093	development	proxys	pʁɔksi	deceptive_concrete	nom_concret_à_vérifier	C	medium	
DSG-D-094	development	diktat	dikta	deceptive_concrete	nom_concret_à_vérifier	C	medium	
DSG-D-095	development	cloque	klɔk	deceptive_concrete	nom_concret_à_vérifier	C	medium	
DSG-D-096	development	natte	nat	deceptive_concrete	nom_concret_à_vérifier	C	medium	
DSG-D-097	development	cheveu	ʃəvø	deceptive_concrete	nom_concret_à_vérifier	C	medium	poil|fil
DSG-D-098	development	shérif	ʃeʁif	deceptive_concrete	nom_concret_à_vérifier	B	low	
DSG-D-099	development	buck	bɔk	deceptive_concrete	nom_concret_à_vérifier	C	medium	
DSG-D-100	development	volant	volɑ̃	deceptive_concrete	nom_concret_à_vérifier	C	medium	
DSG-D-101	development	indés	ɛ̃de	deceptive_concrete	nom_concret_à_vérifier	C	medium	
DSG-D-102	development	doit	dwa	deterministic_fill	action	C	medium	
DSG-D-103	development	crypter	kʁipte	deterministic_fill	action	D	high	
DSG-D-104	development	attends	atɑ̃	deterministic_fill	action	C	medium	
DSG-D-105	development	pincée	pɛ̃se	deterministic_fill	nom_concret_à_vérifier	C	medium	
DSG-D-106	development	vingt	vɛ̃	deterministic_fill	fonction_ou_qualité	D	high	
DSG-D-107	development	hiver	ivɛʁ	deterministic_fill	nom_concret_à_vérifier	B	low	
DSG-D-108	development	cordé	kɔʁde	deterministic_fill	action	D	high	
DSG-D-109	development	dal	dal	deterministic_fill	nom_concret_à_vérifier	C	medium	
DSG-D-110	development	formait	fɔʁmɛ	deterministic_fill	action	D	high	
DSG-D-111	development	marier	maʁje	deterministic_fill	action	C	medium	
DSG-D-112	development	mystère	mistɛʁ	deterministic_fill	nom_concret_à_vérifier	B	low	
DSG-D-113	development	de	də	deterministic_fill	fonction_ou_qualité	D	high	
DSG-D-114	development	nord	nɔʁ	deterministic_fill	nom_concret_à_vérifier	B	low	
DSG-D-115	development	orage	oʁaʒ	deterministic_fill	nom_concret_à_vérifier	C	medium	tempête|éclair|pluie
DSG-D-116	development	sécu	seky	deterministic_fill	nom_concret_à_vérifier	C	medium	
DSG-D-117	development	troublant	tʁublɑ̃	deterministic_fill	fonction_ou_qualité	D	high	
DSG-D-118	development	quête	kɛt	deterministic_fill	nom_concret_à_vérifier	B	medium	
DSG-D-119	development	bégueule	begœl	deterministic_fill	fonction_ou_qualité	D	high	
DSG-D-120	development	chandelle	ʃɑ̃dɛl	deterministic_fill	nom_concret_à_vérifier	C	medium	bougie
DSG-D-121	development	sen	sɛn	deterministic_fill	nom_concret_à_vérifier	C	medium	
DSG-D-122	development	mûs	my	deterministic_fill	nom_concret_à_vérifier	C	medium	
DSG-D-123	development	ambra	ɑ̃bʁa	deterministic_fill	action	D	high	
DSG-D-124	development	babi	babi	deterministic_fill	nom_concret_à_vérifier	C	medium	
DSG-D-125	development	pieu	pjø	deterministic_fill	nom_concret_à_vérifier	C	medium	
DSG-D-126	development	couvent	kuvɑ̃	deterministic_fill	nom_concret_à_vérifier	C	medium	
DSG-D-127	development	détour	detuʁ	deterministic_fill	nom_concret_à_vérifier	C	medium	
DSG-D-128	development	halle	al	deterministic_fill	nom_concret_à_vérifier	B	medium	
DSG-D-129	development	hard	aʁd	deterministic_fill	fonction_ou_qualité	D	high	
DSG-D-130	development	duque	dyk	deterministic_fill	nom_concret_à_vérifier	B	medium	
DSG-D-131	development	ac	ase	deterministic_fill	nom_concret_à_vérifier	C	medium	
DSG-D-132	development	valable	valabl	deterministic_fill	fonction_ou_qualité	D	high	
DSG-D-133	development	ji	ʒi	deterministic_fill	nom_concret_à_vérifier	C	medium	
DSG-D-134	development	gons	gɔ̃	deterministic_fill	nom_concret_à_vérifier	C	medium	
DSG-D-135	development	pique-nique	piknik	deterministic_fill	nom_concret_à_vérifier	C	medium	
DSG-H-001	holdout	skaal	skal	abstract_relation	fonction_ou_qualité	D	high	
DSG-H-002	holdout	mandans	mɑ̃dɑ̃	abstract_relation	fonction_ou_qualité	D	high	
DSG-H-003	holdout	gênant	ʒɛnɑ̃	abstract_relation	fonction_ou_qualité	D	high	
DSG-H-004	holdout	inné	ine	abstract_relation	fonction_ou_qualité	D	high	
DSG-H-005	holdout	surtout	syʁtu	abstract_relation	fonction_ou_qualité	D	high	
DSG-H-006	holdout	haute	ot	abstract_relation	fonction_ou_qualité	D	high	
DSG-H-007	holdout	frais	fʁɛ	abstract_relation	fonction_ou_qualité	D	high	
DSG-H-008	holdout	nûment	nymɑ̃	abstract_relation	fonction_ou_qualité	D	high	
DSG-H-009	holdout	pec	pɛk	abstract_relation	fonction_ou_qualité	D	high	
DSG-H-010	holdout	ingrat	ɛ̃gʁa	abstract_relation	fonction_ou_qualité	D	high	
DSG-H-011	holdout	session	sesjɔ̃	abstract_relation	abstrait	D	high	
DSG-H-012	holdout	toi	twa	abstract_relation	fonction_ou_qualité	D	high	
DSG-H-013	holdout	senseur	sɑ̃sœʁ	roles_people	personne_rôle_candidat	D	high	
DSG-H-014	holdout	peurs	pœʁ	roles_people	personne_rôle_candidat	D	high	
DSG-H-015	holdout	quartier	kaʁtje	roles_people	personne_rôle_candidat	D	high	
DSG-H-016	holdout	casier	kazje	roles_people	personne_rôle_candidat	D	high	
DSG-H-017	holdout	peur	pøʁ	roles_people	personne_rôle_candidat	C	high	
DSG-H-018	holdout	chanteur	ʃɑ̃tœʁ	roles_people	personne_rôle_candidat	D	high	
DSG-H-019	holdout	seigneur	sɛɲœʁ	roles_people	personne_rôle_candidat	C	high	
DSG-H-020	holdout	vainqueur	vɛ̃kœʁ	roles_people	personne_rôle_candidat	D	high	
DSG-H-021	holdout	hardeur	aʁdœʁ	roles_people	personne_rôle_candidat	D	high	
DSG-H-022	holdout	chantier	ʃɑ̃tje	roles_people	personne_rôle_candidat	D	high	
DSG-H-023	holdout	vu	vy	events_actions	action	C	medium	
DSG-H-024	holdout	joue	ʒu	events_actions	action	C	medium	
DSG-H-025	holdout	agrée	agʁe	events_actions	action	D	high	
DSG-H-026	holdout	rimant	ʁimɑ̃	events_actions	action	D	high	
DSG-H-027	holdout	masser	mase	events_actions	action	D	high	
DSG-H-028	holdout	tâte	tat	events_actions	action	D	high	
DSG-H-029	holdout	prévis	pʁevi	events_actions	action	D	high	
DSG-H-030	holdout	pêcher	peʃe	events_actions	action	C	high	arbre|pommier|pêche
DSG-H-031	holdout	ruser	ʁyze	events_actions	action	D	high	
DSG-H-032	holdout	rissent	ʁis	events_actions	action	D	high	
DSG-H-033	holdout	voler	vole	events_actions	action	C	medium	
DSG-H-034	holdout	toucher	tuʃe	events_actions	action	C	medium	
DSG-H-035	holdout	jars	ʒaʁ	polysemy_homographs	nom_concret_à_vérifier	C	medium	
DSG-H-036	holdout	biz	biz	polysemy_homographs	nom_concret_à_vérifier	C	medium	
DSG-H-037	holdout	flanc	flɑ̃	polysemy_homographs	nom_concret_à_vérifier	C	medium	
DSG-H-038	holdout	cache-cache	kaʃkaʃ	polysemy_homographs	nom_concret_à_vérifier	C	medium	
DSG-H-039	holdout	alien	aljɛn	polysemy_homographs	personne_rôle_candidat	D	high	
DSG-H-040	holdout	appui	apɥi	polysemy_homographs	nom_concret_à_vérifier	C	medium	
DSG-H-041	holdout	entre	ɑ̃tʁ	polysemy_homographs	fonction_ou_qualité	D	high	
DSG-H-042	holdout	cachette	kaʃɛt	polysemy_homographs	nom_concret_à_vérifier	C	medium	
DSG-H-043	holdout	shogun	ʃogun	polysemy_homographs	nom_concret_à_vérifier	C	medium	
DSG-H-044	holdout	bizut	bizy	polysemy_homographs	nom_concret_à_vérifier	C	medium	
DSG-H-045	holdout	non	nɔ̃	polysemy_homographs	fonction_ou_qualité	D	high	
DSG-H-046	holdout	pare-feu	paʁfø	polysemy_homographs	nom_concret_à_vérifier	C	medium	
DSG-H-047	holdout	tard	taʁ	polysemy_homographs	fonction_ou_qualité	D	high	
DSG-H-048	holdout	shampoing	ʃɑ̃pwɛ̃	polysemy_homographs	nom_concret_à_vérifier	C	medium	
DSG-H-049	holdout	ferre	fɛʁ	polysemy_homographs	action	C	high	
DSG-H-050	holdout	mulls	myl	low_frequency	nom_concret_à_vérifier	C	medium	
DSG-H-051	holdout	tunée	tyne	low_frequency	nom_concret_à_vérifier	C	medium	
DSG-H-052	holdout	sciemment	sjamɑ̃	low_frequency	fonction_ou_qualité	D	high	
DSG-H-053	holdout	commes	kɔm	low_frequency	nom_concret_à_vérifier	C	medium	
DSG-H-054	holdout	qqes	kɛlk	low_frequency	nom_concret_à_vérifier	C	medium	
DSG-H-055	holdout	virons	viʁɔ̃	low_frequency	action	D	high	
DSG-H-056	holdout	halo	alo	low_frequency	nom_concret_à_vérifier	C	medium	lumière|auréole
DSG-H-057	holdout	scellant	sɛlɑ̃	low_frequency	action	D	high	
DSG-H-058	holdout	machez	maʃe	deceptive_concrete	nom_concret_à_vérifier	C	medium	
DSG-H-059	holdout	punch	pɔ̃ʃ	deceptive_concrete	nom_concret_à_vérifier	C	medium	
DSG-H-060	holdout	canne	kan	deceptive_concrete	nom_concret_à_vérifier	C	medium	
DSG-H-061	holdout	têt	tɛ	deceptive_concrete	nom_concret_à_vérifier	B	medium	
DSG-H-062	holdout	passé	pase	deceptive_concrete	nom_concret_à_vérifier	C	medium	
DSG-H-063	holdout	charriots	ʃaʁjo	deceptive_concrete	nom_concret_à_vérifier	C	medium	
DSG-H-064	holdout	mousse	mus	deceptive_concrete	nom_concret_à_vérifier	C	medium	
DSG-H-065	holdout	micro	mikʁo	deceptive_concrete	nom_concret_à_vérifier	C	medium	
DSG-H-066	holdout	monde	mɔ̃d	deceptive_concrete	nom_concret_à_vérifier	B	low	
DSG-H-067	holdout	plet	plɛ	deceptive_concrete	nom_concret_à_vérifier	C	medium	
DSG-H-068	holdout	fierté	fjɛʁte	deceptive_concrete	nom_concret_à_vérifier	C	medium	
DSG-H-069	holdout	moût	mu	deceptive_concrete	nom_concret_à_vérifier	C	medium	
DSG-H-070	holdout	anaux	ano	deterministic_fill	fonction_ou_qualité	D	high	
DSG-H-071	holdout	ballade	balad	deterministic_fill	nom_concret_à_vérifier	C	medium	
DSG-H-072	holdout	das	da	deterministic_fill	nom_concret_à_vérifier	C	medium	
DSG-H-073	holdout	visions	vizjɔ̃	deterministic_fill	abstrait	D	high	
DSG-H-074	holdout	bordé	bɔʁde	deterministic_fill	action	D	high	
DSG-H-075	holdout	dicte	dikt	deterministic_fill	action	D	high	
DSG-H-076	holdout	miter	mite	deterministic_fill	action	D	high	
DSG-H-077	holdout	boy	bɔj	deterministic_fill	nom_concret_à_vérifier	C	medium	
DSG-H-078	holdout	confondre	kɔ̃fɔ̃dʁ	deterministic_fill	action	D	high	
DSG-H-079	holdout	voisin	vwazɛ̃	deterministic_fill	nom_concret_à_vérifier	C	medium	
DSG-H-080	holdout	futé	fyte	deterministic_fill	fonction_ou_qualité	D	high	
DSG-H-081	holdout	chasseur	ʃasœʁ	deterministic_fill	personne_rôle_candidat	D	high	
DSG-H-082	holdout	disant	dizɑ̃	deterministic_fill	action	C	medium	
DSG-H-083	holdout	buter	byte	deterministic_fill	action	D	high	
DSG-H-084	holdout	leader	lidœʁ	deterministic_fill	nom_concret_à_vérifier	C	medium	
DSG-H-085	holdout	comics	komik	deterministic_fill	nom_concret_à_vérifier	C	medium	
DSG-H-086	holdout	to	to	deterministic_fill	nom_concret_à_vérifier	B	low	
DSG-H-087	holdout	musique	myzik	deterministic_fill	nom_concret_à_vérifier	B	low	
DSG-H-088	holdout	pff	pf	deterministic_fill	fonction_ou_qualité	D	high	
DSG-H-089	holdout	cuistos	kɥisto	deterministic_fill	nom_concret_à_vérifier	C	medium	
DSG-H-090	holdout	malin	malɛ̃	deterministic_fill	fonction_ou_qualité	D	high	
