sampleId	ipa	exactWord	lemma	pos	frequency	preselectionScore	conceptCategory	provisionalClass
B2C-I1-1760	muvwaʁ	mouvoir	mouvoir	VER	0.285	5	action	D
B2C-I1-1761	dikt	dicte	dicter	VER	1.668	6	action	D
B2C-I1-1762	eʃwe	échouer	échouer	VER	6.661	7	action	D
B2C-I1-1763	nɔtʁ	notre	notre	ADJ	1052.196	4	fonction_ou_qualité	D
B2C-I1-1764	dɔʁ	dore	dorer	VER	0.168	7	action	D
B2C-I1-1765	vjolɛ	violet	violet	ADJ	5.449	3	fonction_ou_qualité	D
B2C-I1-1766	koʁɔ̃	corrompt	corrompre	VER	0.528	6	action	D
B2C-I1-1767	pɔ̃pje	pompiez	pomper	VER	0.003	6	action	D
B2C-I1-1768	sosjal	social	social	ADJ	8.671	2	fonction_ou_qualité	D
B2C-I1-1769	diksjɔ̃	diction	diction	NOM	0.557	5	abstrait	D
B2C-I1-1770	pitʁ	pitre	pitre	NOM	0.608	7	nom_concret_à_vérifier	C
B2C-I1-1771	ʒite	giter	gîter	VER	0.016	5	action	D
B2C-I1-1772	tʁœst	truste	truster	VER	0.022	6	action	D
B2C-I1-1773	leʃe	léché	lécher	VER	1.203	7	action	D
B2C-I1-1774	ɛ̃dɛmn	indemne	indemne	ADJ	2.405	2	fonction_ou_qualité	D
B2C-I1-1775	kɔ̃sɑ̃	consens	consentir	VER	0.665	6	action	D
B2C-I1-1776	ʁame	ramée	ramer	VER	0.003	6	action	D
B2C-I1-1777	ɛksklyʁ	exclure	exclure	VER	3.475	7	action	D
B2C-I1-1778	piʒe	piger	piger	VER	1.5	6	action	D
B2C-I1-1779	akɔʁ	accort	accort	ADJ	0.013	1	fonction_ou_qualité	D
B2C-I1-1780	ɑ̃sɛ̃t	enceinte	enceinte	ADJ	58.791	3	fonction_ou_qualité	D
B2C-I1-1781	tɥa	tua	tuer	VER	1.206	7	action	D
B2C-I1-1782	geʁiʁ	guérir	guérir	VER	18.035	7	action	D
B2C-I1-1783	povʁ	pauvre	pauvre	ADJ	92.646	4	fonction_ou_qualité	D
B2C-I1-1784	sake	sacquer	sacquer	VER	0.079	6	action	D
B2C-I1-1785	kɔ̃tʁɛʁ	contrèrent	contrer	VER	0.003	6	action	D
B2C-I1-1786	begœl	bégueule	bégueule	ADJ	0.092	1	fonction_ou_qualité	D
B2C-I1-1787	fatal	fatal	fatal	ADJ	4.44	2	fonction_ou_qualité	D
B2C-I1-1788	pʁɔspɛʁ	prospère	prospère	ADJ	2.339	2	fonction_ou_qualité	D
B2C-I1-1789	kuʁje	couriez	courir	VER	0.285	6	action	D
B2C-I1-1790	yn	une	une	ART	8200.772	5	fonction_ou_qualité	D
B2C-I1-1791	kaʁdjo	cardiaux	cardial	ADJ	0.003	1	fonction_ou_qualité	D
B2C-I1-1792	bis	bis	bis	ADJ	0.478	2	fonction_ou_qualité	D
B2C-I1-1793	mwaʁ	moire	moirer	VER	0.016	5	action	D
B2C-I1-1794	mɑ̃d	mande	mander	VER	0.146	6	action	D
B2C-I1-1795	plimɑ̃	pliement	pliement	NOM	0.003	4	abstrait	D
B2C-I1-1796	ʁaba	rabats	rabattre	VER	0.285	6	action	D
B2C-I1-1797	galɑ̃	galant	galant	ADJ	2.57	3	fonction_ou_qualité	D
B2C-I1-1798	ɛgzɑ̃	exempt	exempt	ADJ	0.278	0	fonction_ou_qualité	D
B2C-I1-1799	sykʁe	sucrer	sucrer	VER	0.269	6	action	D
B2C-I1-1800	advɛʁs	adverse	adverse	ADJ	1.753	1	fonction_ou_qualité	D
B2C-I1-1801	tɛʁibl	terrible	terrible	ADJ	63.345	3	fonction_ou_qualité	D
B2C-I1-1802	valabl	valable	valable	ADJ	7.434	2	fonction_ou_qualité	D
B2C-I1-1803	gloʁjø	glorieux	glorieux	ADJ	3.519	2	fonction_ou_qualité	D
B2C-I1-1804	nɔk	nok	nok	ADJ	0.016	0	fonction_ou_qualité	D
B2C-I1-1805	kʁame	cramer	cramer	VER	1.813	6	action	D
B2C-I1-1806	votʁ	vôtres	vôtres	PRO	11.155	3	fonction_ou_qualité	D
B2C-I1-1807	vele	vêler	vêler	VER	0.025	5	action	D
B2C-I1-1808	bɑ̃de	bandé	bander	VER	0.709	6	action	D
B2C-I1-1809	sjamɑ̃	sciemment	sciemment	ADV	0.946	0	fonction_ou_qualité	D
B2C-I1-1810	buji	bouilli	bouilli	ADJ	0.453	1	fonction_ou_qualité	D
B2C-I1-1811	ɛskaʁ	escarre	escarre	NOM	0.054	7	nom_concret_à_vérifier	C
B2C-I1-1812	ʁəbɔ̃	rebond	rebond	NOM	0.867	7	nom_concret_à_vérifier	C
B2C-I1-1813	nɔʁme	normé	normé	ADJ	0.003	1	fonction_ou_qualité	D
B2C-I1-1814	diŋ	ding	ding	ONO	5.547	3	fonction_ou_qualité	D
B2C-I1-1815	spiʁal	spiralent	spiraler	VER	0.003	6	action	D
B2C-I1-1816	pɥizɑ̃	puisant	puiser	VER	0.158	5	action	D
B2C-I1-1817	mɑ̃dɑ̃	mandans	mandan	ADJ	0.003	1	fonction_ou_qualité	D
B2C-I1-1818	flɛksjɔ̃	flexion	flexion	NOM	0.278	7	nom_concret_à_vérifier	C
B2C-I1-1819	gʁotɛsk	grotesque	grotesque	ADJ	2.991	2	fonction_ou_qualité	D
B2C-I1-1820	pʁofɔ̃	profond	profond	ADJ	20.886	4	fonction_ou_qualité	D
B2C-I1-1821	plyzjœʁ	plusieurs	plusieurs	ADJ	81.316	3	fonction_ou_qualité	D
B2C-I1-1822	ʒadis	jadis	jadis	ADV	4.801	2	fonction_ou_qualité	D
B2C-I1-1823	muvɑ̃	mouvant	mouvant	ADJ	0.241	0	fonction_ou_qualité	D
B2C-I1-1824	atif	hâtif	hâtif	ADJ	0.421	1	fonction_ou_qualité	D
B2C-I1-1825	idɛm	idem	idem	ADV	2.114	2	fonction_ou_qualité	D
B2C-I1-1826	dyʁ	dure	dur	ADJ	24.449	5	fonction_ou_qualité	D
B2C-I1-1827	mwal	moelle	moëlle	NOM	0.184	7	nom_concret_à_vérifier	C
B2C-I1-1828	kiva	kiva	kiva	NOM	0.095	7	nom_concret_à_vérifier	C
B2C-I1-1829	vaj	vaille	valoir	VER	2.845	7	action	D
B2C-I1-1830	ʁago	ragot	ragot	NOM	0.342	7	nom_concret_à_vérifier	C
B2C-I1-1831	finɛs	finesse	finesse	NOM	1.706	5	abstrait	D
B2C-I1-1832	dɔ̃g	dong	dong	ONO	2.538	3	fonction_ou_qualité	D
B2C-I1-1833	kɔ̃plɛ	complet	complet	ADJ	20.475	4	fonction_ou_qualité	D
B2C-I1-1834	abil	habile	habile	ADJ	3.886	3	fonction_ou_qualité	D
B2C-I1-1835	atif	attife	attifer	VER	0.041	6	action	D
B2C-I1-1836	kazi	quasi	quasi	ADV	3.946	3	fonction_ou_qualité	D
B2C-I1-1837	ɑ̃ti	antireflet	antireflet	ADJ	0.003	2	fonction_ou_qualité	D
B2C-I1-1838	saliʁ	salir	salir	VER	5.604	7	action	D
B2C-I1-1839	vɛʁti	verti	verti	NOM	0.006	7	nom_concret_à_vérifier	C
B2C-I1-1840	ele	ailé	ailé	ADJ	0.301	2	fonction_ou_qualité	D
B2C-I1-1841	kɔ̃sy	conçu	concevoir	VER	10.655	7	action	D
B2C-I1-1842	imɑ̃s	immense	immense	ADJ	13.234	2	fonction_ou_qualité	D
B2C-I1-1843	patɑ̃	pattant	patter	VER	0.003	6	action	D
B2C-I1-1844	tʁaksjɔ̃	traction	traction	NOM	0.87	4	abstrait	D
B2C-I1-1845	stɑ̃s	stance	stance	NOM	0.06	4	abstrait	D
B2C-I1-1846	ɑ̃ʁi	henry	henry	NOM	0.247	7	nom_concret_à_vérifier	C
B2C-I1-1847	kolɛʁ	collèrent	coller	VER	0.003	6	action	D
B2C-I1-1848	nɔʁmal	normale	normal	ADJ	23.658	5	fonction_ou_qualité	D
B2C-I1-1849	malɛ̃	malin	malin	ADJ	25.655	3	fonction_ou_qualité	D
B2C-I1-1850	asis	assisse	asseoir	VER	0.104	6	action	D
B2C-I1-1851	paʁtɑ̃	partant	partir	VER	7.399	7	action	D
B2C-I1-1852	tybe	tuber	tuber	VER	0.035	5	action	D
B2C-I1-1853	maʁin	marine	marin	ADJ	7.845	2	fonction_ou_qualité	D
B2C-I1-1854	ʁənɛ	renait	renaître	VER	0.791	5	action	D
B2C-I1-1855	gʁese	graisser	graisser	VER	0.728	6	action	D
B2C-I1-1856	vɑ̃taj	ventail	ventail	NOM	0.003	7	nom_concret_à_vérifier	C
B2C-I1-1857	pwaly	poilu	poilu	ADJ	2.278	2	fonction_ou_qualité	D
B2C-I1-1858	movɛ	mauvais	mauvais	ADJ	153.155	4	fonction_ou_qualité	D
B2C-I1-1859	sikl	cicle	cicler	VER	0.006	6	action	D
B2C-I1-1860	kɛ̃	quint	quint	ADJ	0.943	2	fonction_ou_qualité	D
B2C-I1-1861	fuj	fouille	fouiller	VER	5.598	7	action	D
B2C-I1-1862	pome	pommée	pommé	ADJ	0.016	4	aliment	C
B2C-I1-1863	opən	open	open	ADJ	1.87	1	fonction_ou_qualité	D
B2C-I1-1864	depʁi	dépris	déprendre	VER	0.013	6	action	D
B2C-I1-1865	lisɑ̃	lissant	lisser	VER	0.019	5	action	D
B2C-I1-1866	plɛʁ	plaire	plaire	VER	13.842	7	action	D
B2C-I1-1867	nɛt	net	net	ADJ	7.845	4	fonction_ou_qualité	D
B2C-I1-1868	baʁbaʁ	barbare	barbare	ADJ	1.756	1	fonction_ou_qualité	D
B2C-I1-1869	ɑ̃tʁ	entre	entre	PRE	397.585	5	fonction_ou_qualité	D
B2C-I1-1870	ʒɛnɑ̃	gênant	gênant	ADJ	12.519	2	fonction_ou_qualité	D
B2C-I1-1871	ʃyte	chuter	chuter	VER	1.946	6	action	D
B2C-I1-1872	avid	avide	avide	ADJ	2.367	2	fonction_ou_qualité	D
B2C-I1-1873	take	taquer	taquer	VER	0.003	5	action	D
B2C-I1-1874	kɔ̃vɛʁ	convers	convers	ADJ	0.013	1	fonction_ou_qualité	D
B2C-I1-1875	viʒil	vigil	vigil	ADJ	0.066	1	fonction_ou_qualité	D
B2C-I1-1876	ot	haute	haut	ADJ	29.842	4	fonction_ou_qualité	D
B2C-I1-1877	ɑ̃fɛ̃	enfin	enfin	ADV	231.68	4	fonction_ou_qualité	D
B2C-I1-1878	kani	canis	canis	NOM	0.016	7	nom_concret_à_vérifier	C
B2C-I1-1879	styp	stup	stup	NOM	0.373	7	nom_concret_à_vérifier	C
B2C-I1-1880	detɛʁ	déterre	déterrer	VER	0.684	6	action	D
B2C-I1-1881	luʁ	lourd	lourd	ADV	11.509	4	fonction_ou_qualité	D
B2C-I1-1882	gʁoɲɔ̃	grognon	grognon	ADJ	1.522	1	fonction_ou_qualité	D
B2C-I1-1883	mɑ̃kɑ̃	manquant	manquant	ADJ	2.854	2	fonction_ou_qualité	D
B2C-I1-1884	vilɛ̃	vilain	vilain	ADJ	8.494	3	fonction_ou_qualité	D
B2C-I1-1885	kʁwajabl	croyable	croyable	ADJ	4.614	2	fonction_ou_qualité	D
B2C-I1-1886	dute	douter	douter	VER	12.199	7	action	D
B2C-I1-1887	sɥa	sua	suer	VER	0.06	6	action	D
B2C-I1-1888	klake	claquer	claquer	VER	3.509	7	action	D
B2C-I1-1889	ʁatyʁ	rature	rature	NOM	0.041	7	nom_concret_à_vérifier	C
B2C-I1-1890	na	na	na	ONO	6.063	5	fonction_ou_qualité	D
B2C-I1-1891	syʁpʁɑ̃dʁ	surprendre	surprendre	VER	9.434	7	action	D
B2C-I1-1892	ʁɛʁ	raire	raire	VER	0.013	6	action	D
B2C-I1-1893	eze	aisé	aisé	ADJ	1.351	1	fonction_ou_qualité	D
B2C-I1-1894	pase	passé	passè	NOM	0.187	5	nom_concret_à_vérifier	C
B2C-I1-1895	toste	toasté	toaster	VER	0.07	5	action	D
B2C-I1-1896	sik	sic	sic	ADV	0.209	2	fonction_ou_qualité	D
B2C-I1-1897	py	pus	pus	ADJ	1.649	5	fonction_ou_qualité	D
B2C-I1-1898	nivo	nivaux	nival	ADJ	0.006	1	fonction_ou_qualité	D
B2C-I1-1899	pɔʁtabl	portable	portable	ADJ	53.962	3	fonction_ou_qualité	D
B2C-I1-1900	zɔd	zode	zode	NOM	0.009	7	nom_concret_à_vérifier	C
B2C-I1-1901	kuʁa	courra	courir	VER	0.525	6	action	D
B2C-I1-1902	ava	hava	haver	VER	0.092	6	action	D
B2C-I1-1903	l	l	l	PRO	14.566	2	fonction_ou_qualité	D
B2C-I1-1904	maʒ	maje	maje	ADJ	0.009	2	fonction_ou_qualité	D
B2C-I1-1905	e	et	et	CON	12851.275	4	fonction_ou_qualité	D
B2C-I1-1906	ʁədiʁ	redire	redire	VER	3.351	7	action	D
B2C-I1-1907	tʁwazjɛm	troisième	troisième	ADJ	31.924	3	fonction_ou_qualité	D
B2C-I1-1908	myta	muta	muter	VER	0.104	5	action	D
B2C-I1-1909	kyʁa	cura	curer	VER	0.022	5	action	D
B2C-I1-1910	vomiʁ	vômir	vômir	NOM	0.003	7	nom_concret_à_vérifier	C
B2C-I1-1911	siljɛʁ	ciliaire	ciliaire	ADJ	0.003	0	fonction_ou_qualité	D
B2C-I1-1912	fʁystʁɑ̃	frustrant	frustrant	ADJ	2.886	2	fonction_ou_qualité	D
B2C-I1-1913	pɛns	pence	pence	NOM	2.098	6	abstrait	D
B2C-I1-1914	mitʁa	mitra	mitrer	VER	0.003	5	action	D
B2C-I1-1915	sɑ̃sibl	sensible	sensible	ADJ	18.953	2	fonction_ou_qualité	D
B2C-I1-1916	kasm	chasme	chasme	NOM	0.006	7	nom_concret_à_vérifier	C
B2C-I1-1917	tisje	tissiez	tisser	VER	0.016	5	action	D
B2C-I1-1918	ʁys	russe	russe	ADJ	18.231	3	fonction_ou_qualité	D
B2C-I1-1919	meʃa	mecha	mécher	VER	0.047	5	action	D
B2C-I1-1920	vɛʁt	verte	vert	ADJ	12.972	2	fonction_ou_qualité	D
B2C-I1-1921	fidɛl	fidèle	fidèle	ADJ	12.991	2	fonction_ou_qualité	D
B2C-I1-1922	pʁijɛʁ	prièrent	prier	VER	0.028	6	action	D
B2C-I1-1923	kliʃe	clicher	clicher	VER	0.003	6	action	D
B2C-I1-1924	paʁje	parier	parier	VER	10.737	7	action	D
B2C-I1-1925	libʁ	libre	libre	ADJ	97.608	4	fonction_ou_qualité	D
B2C-I1-1926	pɛɲ	peignent	peindre	VER	0.342	6	action	D
B2C-I1-1927	pʁesɑ̃	pressens	pressentir	VER	0.301	5	action	D
B2C-I1-1928	ʒwiʁ	jouir	jouir	VER	4.747	7	action	D
B2C-I1-1929	tɔ̃bal	tombal	tombal	ADJ	0.009	0	fonction_ou_qualité	D
B2C-I1-1930	yniʁ	unir	unir	VER	4.677	7	action	D
B2C-I1-1931	aʁgy	arguent	arguer	VER	0.003	5	action	D
B2C-I1-1932	laktik	lactique	lactique	ADJ	0.203	0	fonction_ou_qualité	D
B2C-I1-1933	ʁaze	raser	raser	VER	7.791	7	action	D
B2C-I1-1934	tɛ̃t	tintent	tinter	VER	0.313	6	action	D
B2C-I1-1935	lygybʁ	lugubre	lugubre	ADJ	1.573	1	fonction_ou_qualité	D
B2C-I1-1936	flatœʁ	flatteur	flatteur	ADJ	2.867	2	fonction_ou_qualité	D
B2C-I1-1937	polis	polisse	polir	VER	0.022	6	action	D
B2C-I1-1938	bali	bali	bali	NOM	0.006	7	nom_concret_à_vérifier	C
B2C-I1-1939	ʁəlɛ	relaie	relayer	VER	0.329	6	action	D
B2C-I1-1940	tɑ̃tɑ̃	tentant	tentant	ADJ	3.351	2	fonction_ou_qualité	D
B2C-I1-1941	siklaʒ	cyclage	cyclage	NOM	0.003	7	nom_concret_à_vérifier	C
B2C-I1-1942	kaje	cailler	cailler	VER	0.133	6	action	D
B2C-I1-1943	zɛ̃	zain	zain	ADJ	0.032	1	fonction_ou_qualité	D
B2C-I1-1944	zone	zoner	zoner	VER	0.168	6	action	D
B2C-I1-1945	gʁɛk	grec	grec	ADJ	3.627	3	fonction_ou_qualité	D
B2C-I1-1946	malsɛ̃	malsain	malsain	ADJ	2.962	2	fonction_ou_qualité	D
B2C-I1-1947	tʁɑ̃splɑ̃	transplant	transplant	NOM	0.066	7	nom_concret_à_vérifier	C
B2C-I1-1948	tuʒuʁ	toujours	toujours	ADV	1083.718	4	fonction_ou_qualité	D
B2C-I1-1949	syʁtu	surtout	surtout	ADV	118.924	4	fonction_ou_qualité	D
B2C-I1-1950	səle	celé	celer	VER	0.009	5	action	D
B2C-I1-1951	yltim	ultime	ultime	ADJ	9.247	2	fonction_ou_qualité	D
B2C-I1-1952	vibʁa	vibra	vibrer	VER	0.006	5	action	D
B2C-I1-1953	ʁaʒe	rager	rager	VER	0.528	6	action	D
B2C-I1-1954	plik	pliques	plique	NOM	0.006	7	nom_concret_à_vérifier	C
B2C-I1-1955	selɛst	céleste	céleste	ADJ	2.965	2	fonction_ou_qualité	D
B2C-I1-1956	kʁea	créat	créer	VER	0.003	7	action	D
B2C-I1-1957	mati	matis	matir	VER	0.089	7	action	D
B2C-I1-1958	komy	commuent	commuer	VER	0.003	7	action	D
B2C-I1-1959	dinje	diniez	dîner	VER	0.155	5	action	D
B2C-I1-1960	bʁɛf	bref	bref	ADV	33.184	3	fonction_ou_qualité	D
B2C-I1-1961	agʁe	agrée	agréer	VER	0.114	6	action	D
B2C-I1-1962	kaʃ	cash	cash	ADV	7.794	4	fonction_ou_qualité	D
B2C-I1-1963	ʁiva	riva	river	VER	0.019	5	action	D
B2C-I1-1964	pʁopis	propice	propice	ADJ	1.778	1	fonction_ou_qualité	D
B2C-I1-1965	batwaʁ	battoir	battoir	NOM	0.022	7	nom_concret_à_vérifier	C
B2C-I1-1966	œm	hum	hum	ONO	70.19	3	fonction_ou_qualité	D
B2C-I1-1967	uf	ouf	ouf	ONO	5.731	3	fonction_ou_qualité	D
B2C-I1-1968	desy	déçu	décevoir	VER	11.161	7	action	D
B2C-I1-1969	tʁaʒik	tragique	tragique	ADJ	10.206	2	fonction_ou_qualité	D
B2C-I1-1970	bea	béa	béer	VER	0.009	6	action	D
B2C-I1-1971	lɛs	lesse	lesse	NOM	0.006	6	abstrait	D
B2C-I1-1972	komɛtʁ	commettre	commettre	VER	8.972	7	action	D
B2C-I1-1973	mɔ̃stʁa	monstra	monstra	NOM	0.003	7	nom_concret_à_vérifier	C
B2C-I1-1974	kɔ̃vɛ̃	convaincs	convaincre	VER	1.082	7	action	D
B2C-I1-1975	bɔʁde	border	border	VER	1.437	7	action	D
B2C-I1-1976	ʁiʒid	rigide	rigide	ADJ	1.775	1	fonction_ou_qualité	D
